po_id,supplier_id,order_date,promised_date,actual_date,quantity,unit_price,defect_qty,spend,on_time,defect_rate
PO-0045,SUP-08,2025-03-14,2025-03-19,2025-03-18,327,60.97,4,19937.19,1,0.012232415902140673
PO-0046,SUP-15,2025-10-12,2025-10-30,2025-10-29,124,14.85,0,1841.3999999999999,1,0.0
PO-0047,SUP-03,2025-12-04,2025-12-15,2025-12-15,331,139.71,4,46244.01,1,0.012084592145015106
PO-0048,SUP-06,2025-08-07,2025-08-29,2025-08-29,91,99.28,0,9034.48,1,0.0
PO-0049,SUP-07,2025-03-16,2025-03-31,2025-03-31,231,75.36,5,17408.16,1,0.021645021645021644
PO-0050,SUP-04,2025-03-20,2025-03-28,2025-03-28,124,37.56,1,4657.4400000000005,1,0.008064516129032258
PO-0051,SUP-12,2025-01-27,2025-02-09,2025-02-08,162,27.51,2,4456.62,1,0.012345679012345678
PO-0052,SUP-01,2025-10-17,2025-10-27,2025-10-27,268,20.49,2,5491.32,1,0.007462686567164179
PO-0053,SUP-03,2025-04-15,2025-04-26,2025-04-26,388,120.68,5,46823.840000000004,1,0.01288659793814433
PO-0054,SUP-06,2025-04-25,2025-05-17,2025-05-17,214,151.15,6,32346.100000000002,1,0.028037383177570093
PO-0055,SUP-07,2025-04-01,2025-04-16,2025-04-16,163,144.57,0,23564.91,1,0.0
PO-0056,SUP-06,2025-02-20,2025-03-14,2025-03-14,256,16.2,2,4147.2,1,0.0078125
PO-0057,SUP-07,2025-09-16,2025-10-01,2025-10-01,133,10.35,1,1376.55,1,0.007518796992481203
PO-0058,SUP-11,2025-07-04,2025-07-10,2025-07-10,361,113.75,4,41063.75,1,0.0110803324099723
PO-0059,SUP-09,2025-01-04,2025-01-28,2025-01-30,316,17.41,10,5501.56,0,0.03164556962025317
PO-0060,SUP-01,2025-05-20,2025-05-30,2025-05-30,77,70.23,1,5407.71,1,0.012987012987012988
PO-0061,SUP-11,2025-08-15,2025-08-21,2025-08-21,202,87.97,2,17769.94,1,0.009900990099009901
PO-0062,SUP-02,2025-02-15,2025-02-22,2025-02-22,177,97.35,0,17230.95,1,0.0
PO-0063,SUP-07,2025-03-04,2025-03-19,2025-03-19,114,126.83,2,14458.619999999999,1,0.017543859649122806
PO-0064,SUP-03,2025-07-02,2025-07-13,2025-07-13,136,21.15,3,2876.3999999999996,1,0.022058823529411766
PO-0065,SUP-06,2025-08-24,2025-09-15,2025-09-16,161,102.4,3,16486.4,0,0.018633540372670808
PO-0066,SUP-08,2025-04-12,2025-04-17,2025-04-18,53,65.43,2,3467.7900000000004,0,0.03773584905660377
PO-0067,SUP-10,2025-08-11,2025-08-21,2025-08-22,59,149.7,1,8832.3,0,0.01694915254237288
PO-0068,SUP-10,2025-09-05,2025-09-15,2025-09-15,107,111.8,1,11962.6,1,0.009345794392523364
PO-0069,SUP-08,2025-07-24,2025-07-29,2025-07-29,133,49.89,5,6635.37,1,0.03759398496240601
PO-0070,SUP-05,2025-10-28,2025-11-11,2025-11-11,142,78.46,0,11141.32,1,0.0
PO-0071,SUP-04,2025-02-02,2025-02-10,2025-02-10,112,125.61,3,14068.32,1,0.026785714285714284
PO-0072,SUP-06,2025-09-03,2025-09-25,2025-09-23,24,66.12,0,1586.88,1,0.0
PO-0073,SUP-12,2025-12-25,2026-01-07,2026-01-05,17,57.49,0,977.33,1,0.0
PO-0074,SUP-07,2025-10-24,2025-11-08,2025-11-08,104,50.41,4,5242.639999999999,1,0.038461538461538464
PO-0075,SUP-07,2025-01-03,2025-01-18,2025-01-18,110,153.97,1,16936.7,1,0.00909090909090909
PO-0076,SUP-03,2025-12-15,2025-12-26,2025-12-27,383,159.62,8,61134.46,0,0.020887728459530026
PO-0077,SUP-07,2025-05-09,2025-05-24,2025-05-27,370,97.14,4,35941.8,0,0.010810810810810811
PO-0078,SUP-13,2025-08-29,2025-09-19,2025-09-19,213,49.83,3,10613.789999999999,1,0.014084507042253521
PO-0079,SUP-15,2025-12-22,2026-01-09,2026-01-10,95,107.62,0,10223.9,0,0.0
PO-0080,SUP-05,2025-07-15,2025-07-29,2025-07-30,123,72.05,0,8862.15,0,0.0
PO-0081,SUP-08,2025-10-23,2025-10-28,2025-10-27,336,153.1,5,51441.6,1,0.01488095238095238
PO-0082,SUP-01,2025-06-30,2025-07-10,2025-07-09,362,79.66,4,28836.92,1,0.011049723756906077
PO-0083,SUP-09,2025-01-05,2025-01-29,2025-01-29,24,120.89,1,2901.36,1,0.041666666666666664
PO-0084,SUP-01,2025-01-11,2025-01-21,2025-01-21,315,127.76,5,40244.4,1,0.015873015873015872
PO-0085,SUP-03,2025-05-31,2025-06-11,2025-06-11,79,136.56,0,10788.24,1,0.0
PO-0086,SUP-12,2025-03-02,2025-03-15,2025-03-16,257,42.38,0,10891.66,0,0.0
PO-0087,SUP-07,2025-02-09,2025-02-24,2025-02-25,318,121.1,2,38509.799999999996,0,0.006289308176100629
PO-0088,SUP-02,2025-12-08,2025-12-15,2025-12-14,39,6.33,1,246.87,1,0.02564102564102564
PO-0089,SUP-03,2025-06-13,2025-06-24,2025-06-24,241,77.14,2,18590.74,1,0.008298755186721992
PO-0090,SUP-02,2025-04-07,2025-04-14,2025-04-16,129,73.63,2,9498.269999999999,0,0.015503875968992248
PO-0091,SUP-10,2025-07-19,2025-07-29,2025-07-29,332,81.02,4,26898.64,1,0.012048192771084338
PO-0092,SUP-05,2025-10-24,2025-11-07,2025-11-07,100,23.6,1,2360.0,1,0.01
PO-0093,SUP-12,2025-07-19,2025-08-01,2025-07-30,355,146.38,6,51964.9,1,0.016901408450704224
PO-0094,SUP-09,2025-07-22,2025-08-15,2025-08-16,193,124.33,6,23995.69,0,0.031088082901554404
PO-0095,SUP-15,2025-10-04,2025-10-22,2025-10-23,50,153.63,0,7681.5,0,0.0
PO-0096,SUP-06,2025-07-02,2025-07-24,2025-07-25,77,98.98,2,7621.46,0,0.025974025974025976
PO-0097,SUP-11,2025-02-15,2025-02-21,2025-02-21,338,158.03,7,53414.14,1,0.020710059171597635
PO-0098,SUP-12,2025-06-03,2025-06-16,2025-06-16,144,43.67,2,6288.4800000000005,1,0.013888888888888888
PO-0099,SUP-06,2025-05-27,2025-06-18,2025-06-19,222,131.42,2,29175.239999999998,0,0.009009009009009009
PO-0100,SUP-08,2025-08-14,2025-08-19,2025-08-19,66,149.77,2,9884.820000000002,1,0.030303030303030304
PO-0101,SUP-12,2025-02-02,2025-02-15,2025-02-18,107,159.05,0,17018.350000000002,0,0.0
PO-0102,SUP-02,2025-06-09,2025-06-16,2025-06-16,192,58.81,4,11291.52,1,0.020833333333333332
PO-0103,SUP-01,2025-12-22,2026-01-01,2026-01-01,327,113.29,0,37045.83,1,0.0
PO-0104,SUP-08,2025-10-07,2025-10-12,2025-10-12,212,37.99,4,8053.88,1,0.018867924528301886
PO-0105,SUP-14,2025-03-25,2025-04-01,2025-04-01,92,14.44,1,1328.48,1,0.010869565217391304
PO-0106,SUP-08,2025-09-05,2025-09-10,2025-09-10,252,14.07,8,3545.64,1,0.031746031746031744
PO-0107,SUP-08,2025-12-30,2026-01-04,2026-01-05,306,141.17,5,43198.02,0,0.016339869281045753
PO-0108,SUP-04,2025-06-24,2025-07-02,2025-07-03,290,40.95,4,11875.5,0,0.013793103448275862
PO-0109,SUP-10,2025-06-12,2025-06-22,2025-06-20,33,5.29,0,174.57,1,0.0
PO-0110,SUP-15,2025-05-03,2025-05-21,2025-05-21,48,76.42,0,3668.16,1,0.0
PO-0111,SUP-11,2025-12-17,2025-12-23,2025-12-23,129,119.94,1,15472.26,1,0.007751937984496124
PO-0112,SUP-05,2025-06-24,2025-07-08,2025-07-07,14,93.07,1,1302.98,1,0.07142857142857142
PO-0113,SUP-15,2025-06-08,2025-06-26,2025-06-26,363,79.11,3,28716.93,1,0.008264462809917356
PO-0114,SUP-03,2025-06-25,2025-07-06,2025-07-07,186,91.73,3,17061.780000000002,0,0.016129032258064516
PO-0115,SUP-10,2025-12-22,2026-01-01,2026-01-01,44,114.26,0,5027.4400000000005,1,0.0
PO-0116,SUP-02,2025-03-15,2025-03-22,2025-03-23,149,116.45,0,17351.05,0,0.0
PO-0117,SUP-14,2025-01-24,2025-01-31,2025-01-30,235,44.02,1,10344.7,1,0.00425531914893617
PO-0118,SUP-15,2025-09-05,2025-09-23,2025-09-23,248,13.27,1,3290.96,1,0.004032258064516129
PO-0119,SUP-11,2025-08-20,2025-08-26,2025-08-24,210,45.03,4,9456.300000000001,1,0.01904761904761905
PO-0120,SUP-02,2025-12-18,2025-12-25,2025-12-25,290,93.01,8,26972.9,1,0.027586206896551724
PO-0121,SUP-02,2025-03-17,2025-03-24,2025-03-24,227,110.47,4,25076.69,1,0.01762114537444934
PO-0122,SUP-13,2025-06-15,2025-07-06,2025-07-06,180,149.41,3,26893.8,1,0.016666666666666666
PO-0123,SUP-13,2025-03-28,2025-04-18,2025-04-18,385,68.36,2,26318.6,1,0.005194805194805195
PO-0124,SUP-07,2025-01-06,2025-01-21,2025-01-23,171,82.64,3,14131.44,0,0.017543859649122806
PO-0125,SUP-09,2025-09-19,2025-10-13,2025-10-14,60,137.78,1,8266.8,0,0.016666666666666666
PO-0126,SUP-06,2025-02-20,2025-03-14,2025-03-16,35,142.96,0,5003.6,0,0.0
PO-0127,SUP-02,2025-12-20,2025-12-27,2025-12-27,86,53.61,2,4610.46,1,0.023255813953488372
PO-0128,SUP-09,2025-09-19,2025-10-13,2025-10-13,77,116.26,3,8952.02,1,0.03896103896103896
PO-0129,SUP-06,2025-06-12,2025-07-04,2025-07-02,43,74.4,1,3199.2000000000003,1,0.023255813953488372
PO-0130,SUP-12,2025-11-15,2025-11-28,2025-11-28,64,84.75,1,5424.0,1,0.015625
PO-0131,SUP-12,2025-09-13,2025-09-26,2025-09-29,235,19.25,6,4523.75,0,0.02553191489361702
PO-0132,SUP-06,2025-08-25,2025-09-16,2025-09-16,381,49.29,3,18779.489999999998,1,0.007874015748031496
PO-0133,SUP-01,2025-07-29,2025-08-08,2025-08-09,170,43.26,0,7354.2,0,0.0
PO-0134,SUP-04,2025-08-10,2025-08-18,2025-08-17,341,123.25,8,42028.25,1,0.02346041055718475
PO-0135,SUP-11,2025-10-13,2025-10-19,2025-10-19,159,11.1,2,1764.8999999999999,1,0.012578616352201259
PO-0136,SUP-05,2025-09-02,2025-09-16,2025-09-16,227,105.44,3,23934.88,1,0.013215859030837005
PO-0137,SUP-02,2025-04-02,2025-04-09,2025-04-09,106,107.88,0,11435.279999999999,1,0.0
PO-0138,SUP-03,2025-06-19,2025-06-30,2025-06-30,210,93.09,7,19548.9,1,0.03333333333333333
PO-0139,SUP-15,2025-07-11,2025-07-29,2025-07-29,22,66.27,1,1457.9399999999998,1,0.045454545454545456
PO-0140,SUP-10,2025-10-09,2025-10-19,2025-10-21,141,15.75,0,2220.75,0,0.0
PO-0141,SUP-05,2025-08-12,2025-08-26,2025-08-24,55,151.15,1,8313.25,1,0.01818181818181818
PO-0142,SUP-10,2025-12-05,2025-12-15,2025-12-13,44,9.05,0,398.20000000000005,1,0.0
PO-0143,SUP-08,2025-04-19,2025-04-24,2025-04-25,155,140.23,3,21735.649999999998,0,0.01935483870967742
PO-0144,SUP-04,2025-07-06,2025-07-14,2025-07-14,110,99.38,2,10931.8,1,0.01818181818181818
PO-0145,SUP-13,2025-01-24,2025-02-14,2025-02-14,12,37.22,0,446.64,1,0.0
PO-0146,SUP-01,2025-12-31,2026-01-10,2026-01-10,206,52.54,3,10823.24,1,0.014563106796116505
PO-0147,SUP-15,2025-11-20,2025-12-08,2025-12-10,376,64.13,3,24112.879999999997,0,0.007978723404255319
PO-0148,SUP-03,2025-12-26,2026-01-06,2026-01-08,385,91.02,11,35042.7,0,0.02857142857142857
PO-0149,SUP-08,2025-07-06,2025-07-11,2025-07-11,352,43.94,6,15466.88,1,0.017045454545454544
PO-0150,SUP-01,2025-02-26,2025-03-08,2025-03-08,312,81.35,2,25381.199999999997,1,0.00641025641025641
PO-0151,SUP-07,2025-07-26,2025-08-10,2025-08-08,44,90.67,0,3989.48,1,0.0
PO-0152,SUP-02,2025-01-03,2025-01-10,2025-01-12,30,53.29,0,1598.7,0,0.0
PO-0153,SUP-08,2025-09-24,2025-09-29,2025-09-29,160,98.67,2,15787.2,1,0.0125
PO-0154,SUP-13,2025-03-07,2025-03-28,2025-03-26,319,152.66,4,48698.54,1,0.012539184952978056
PO-0155,SUP-06,2025-09-15,2025-10-07,2025-10-08,369,57.3,3,21143.7,0,0.008130081300813009
PO-0156,SUP-01,2025-03-04,2025-03-14,2025-03-12,78,158.44,2,12358.32,1,0.02564102564102564
PO-0157,SUP-03,2025-04-01,2025-04-12,2025-04-12,97,3.07,2,297.78999999999996,1,0.020618556701030927
PO-0158,SUP-05,2025-08-19,2025-09-02,2025-08-31,217,58.78,5,12755.26,1,0.02304147465437788
PO-0159,SUP-09,2025-12-03,2025-12-27,2025-12-26,318,103.85,5,33024.299999999996,1,0.015723270440251572
PO-0160,SUP-14,2025-11-14,2025-11-21,2025-11-21,259,23.06,9,5972.54,1,0.03474903474903475
PO-0161,SUP-12,2025-02-16,2025-03-01,2025-03-04,379,25.0,3,9475.0,0,0.0079155672823219
PO-0162,SUP-10,2025-08-25,2025-09-04,2025-09-04,109,84.08,1,9164.72,1,0.009174311926605505
PO-0163,SUP-13,2025-01-12,2025-02-02,2025-02-03,99,143.66,0,14222.34,0,0.0
PO-0164,SUP-13,2025-12-20,2026-01-10,2026-01-09,216,46.9,2,10130.4,1,0.009259259259259259
PO-0165,SUP-15,2025-07-09,2025-07-27,2025-07-28,280,16.28,3,4558.400000000001,0,0.010714285714285714
PO-0166,SUP-12,2025-05-22,2025-06-04,2025-06-07,17,146.38,1,2488.46,0,0.058823529411764705
PO-0167,SUP-03,2025-12-31,2026-01-11,2026-01-13,379,119.66,6,45351.14,0,0.0158311345646438
PO-0168,SUP-09,2025-03-06,2025-03-30,2025-03-29,323,68.94,6,22267.62,1,0.018575851393188854
PO-0169,SUP-09,2025-12-28,2026-01-21,2026-01-19,186,134.82,1,25076.52,1,0.005376344086021506
PO-0170,SUP-01,2025-03-13,2025-03-23,2025-03-23,279,81.21,3,22657.589999999997,1,0.010752688172043012
PO-0171,SUP-03,2025-05-01,2025-05-12,2025-05-13,370,145.01,6,53653.7,0,0.016216216216216217
PO-0172,SUP-15,2025-01-19,2025-02-06,2025-02-06,324,10.67,3,3457.08,1,0.009259259259259259
PO-0173,SUP-15,2025-04-28,2025-05-16,2025-05-14,162,22.61,1,3662.8199999999997,1,0.006172839506172839
PO-0174,SUP-02,2025-09-27,2025-10-04,2025-10-04,331,47.08,3,15583.48,1,0.00906344410876133
PO-0175,SUP-05,2025-03-06,2025-03-20,2025-03-19,120,65.77,0,7892.4,1,0.0
PO-0176,SUP-11,2025-03-26,2025-04-01,2025-04-03,266,32.97,4,8770.02,0,0.015037593984962405
PO-0177,SUP-05,2025-02-09,2025-02-23,2025-02-23,61,17.39,2,1060.79,1,0.03278688524590164
PO-0178,SUP-06,2025-04-30,2025-05-22,2025-05-24,157,136.94,2,21499.579999999998,0,0.012738853503184714
PO-0179,SUP-07,2025-09-07,2025-09-22,2025-09-21,24,75.93,0,1822.3200000000002,1,0.0
PO-0180,SUP-13,2025-04-27,2025-05-18,2025-05-18,280,56.34,8,15775.2,1,0.02857142857142857
PO-0181,SUP-13,2025-04-04,2025-04-25,2025-04-26,91,103.4,1,9409.4,0,0.01098901098901099
PO-0182,SUP-06,2025-01-14,2025-02-05,2025-02-05,252,45.35,1,11428.2,1,0.003968253968253968
PO-0183,SUP-05,2025-07-07,2025-07-21,2025-07-20,388,22.11,4,8578.68,1,0.010309278350515464
PO-0184,SUP-13,2025-12-29,2026-01-19,2026-01-19,351,156.96,4,55092.96000000001,1,0.011396011396011397
PO-0185,SUP-06,2025-11-18,2025-12-10,2025-12-10,377,90.57,1,34144.89,1,0.002652519893899204
PO-0186,SUP-10,2025-10-02,2025-10-12,2025-10-12,174,111.5,3,19401.0,1,0.017241379310344827
PO-0187,SUP-07,2025-06-25,2025-07-10,2025-07-12,184,130.26,1,23967.839999999997,0,0.005434782608695652
PO-0188,SUP-11,2025-11-17,2025-11-23,2025-11-23,18,58.41,0,1051.3799999999999,1,0.0
PO-0189,SUP-04,2025-04-07,2025-04-15,2025-04-14,150,151.56,5,22734.0,1,0.03333333333333333
PO-0190,SUP-06,2025-04-23,2025-05-15,2025-05-15,266,32.2,3,8565.2,1,0.011278195488721804
PO-0191,SUP-11,2025-07-12,2025-07-18,2025-07-19,164,45.96,1,7537.4400000000005,0,0.006097560975609756
PO-0192,SUP-06,2025-05-06,2025-05-28,2025-05-28,158,52.91,0,8359.779999999999,1,0.0
PO-0193,SUP-05,2025-05-24,2025-06-07,2025-06-07,15,61.45,0,921.75,1,0.0
PO-0194,SUP-05,2025-08-02,2025-08-16,2025-08-14,35,89.12,0,3119.2000000000003,1,0.0
PO-0195,SUP-12,2025-07-04,2025-07-17,2025-07-17,314,152.7,3,47947.799999999996,1,0.009554140127388535
PO-0196,SUP-12,2025-12-20,2026-01-02,2026-01-02,338,117.19,4,39610.22,1,0.011834319526627219
PO-0197,SUP-13,2025-12-21,2026-01-11,2026-01-13,253,147.36,3,37282.08,0,0.011857707509881422
PO-0198,SUP-07,2025-07-20,2025-08-04,2025-08-04,135,39.36,5,5313.6,1,0.037037037037037035
PO-0199,SUP-04,2025-04-05,2025-04-13,2025-04-14,272,42.94,9,11679.68,0,0.03308823529411765
PO-0200,SUP-11,2025-11-07,2025-11-13,2025-11-13,158,123.19,0,19464.02,1,0.0
PO-0201,SUP-06,2025-06-01,2025-06-23,2025-06-22,234,143.25,5,33520.5,1,0.021367521367521368
PO-0202,SUP-09,2025-04-07,2025-05-01,2025-05-02,282,138.54,5,39068.28,0,0.01773049645390071
PO-0203,SUP-12,2025-02-15,2025-02-28,2025-02-28,155,58.26,3,9030.3,1,0.01935483870967742
PO-0204,SUP-07,2025-08-13,2025-08-28,2025-08-28,264,7.18,2,1895.52,1,0.007575757575757576
PO-0205,SUP-02,2025-08-05,2025-08-12,2025-08-12,334,39.57,6,13216.38,1,0.017964071856287425
PO-0206,SUP-10,2025-04-25,2025-05-05,2025-05-07,291,12.39,5,3605.4900000000002,0,0.01718213058419244
PO-0207,SUP-01,2025-05-23,2025-06-02,2025-06-02,193,76.88,0,14837.839999999998,1,0.0
PO-0208,SUP-05,2025-12-28,2026-01-11,2026-01-11,189,61.2,0,11566.800000000001,1,0.0
PO-0209,SUP-06,2025-09-11,2025-10-03,2025-10-04,391,72.09,3,28187.190000000002,0,0.0076726342710997444
PO-0210,SUP-01,2025-09-15,2025-09-25,2025-09-25,185,122.5,4,22662.5,1,0.021621621621621623
PO-0211,SUP-01,2025-09-23,2025-10-03,2025-10-03,113,31.39,2,3547.07,1,0.017699115044247787
PO-0212,SUP-06,2025-12-15,2026-01-06,2026-01-06,79,128.43,1,10145.970000000001,1,0.012658227848101266
PO-0213,SUP-02,2025-11-24,2025-12-01,2025-11-30,88,151.22,3,13307.36,1,0.03409090909090909
PO-0214,SUP-08,2025-07-02,2025-07-07,2025-07-07,112,40.59,0,4546.08,1,0.0
PO-0215,SUP-10,2025-07-04,2025-07-14,2025-07-15,394,39.72,3,15649.68,0,0.007614213197969543
PO-0216,SUP-02,2025-08-17,2025-08-24,2025-08-24,43,109.98,0,4729.14,1,0.0
PO-0217,SUP-13,2025-10-08,2025-10-29,2025-10-29,345,11.18,5,3857.1,1,0.014492753623188406
PO-0218,SUP-05,2025-01-04,2025-01-18,2025-01-20,312,23.98,4,7481.76,0,0.01282051282051282
PO-0219,SUP-07,2025-02-13,2025-02-28,2025-02-28,52,42.11,2,2189.72,1,0.038461538461538464
PO-0220,SUP-10,2025-11-05,2025-11-15,2025-11-15,18,12.18,0,219.24,1,0.0
PO-0221,SUP-07,2025-10-04,2025-10-19,2025-10-20,230,57.62,5,13252.599999999999,0,0.021739130434782608
PO-0222,SUP-05,2025-04-06,2025-04-20,2025-04-21,53,25.78,1,1366.3400000000001,0,0.018867924528301886
PO-0223,SUP-12,2025-12-13,2025-12-26,2025-12-26,65,3.96,1,257.4,1,0.015384615384615385
PO-0224,SUP-12,2025-04-14,2025-04-27,2025-04-27,318,81.64,6,25961.52,1,0.018867924528301886
PO-0225,SUP-10,2025-05-11,2025-05-21,2025-05-21,99,145.97,0,14451.03,1,0.0
PO-0226,SUP-08,2025-02-20,2025-02-25,2025-02-25,98,106.82,0,10468.359999999999,1,0.0
PO-0227,SUP-06,2025-08-06,2025-08-28,2025-08-28,305,21.19,0,6462.950000000001,1,0.0
PO-0228,SUP-09,2025-05-15,2025-06-08,2025-06-09,307,39.07,9,11994.49,0,0.029315960912052116
PO-0229,SUP-02,2025-09-22,2025-09-29,2025-09-29,390,24.38,4,9508.199999999999,1,0.010256410256410256
PO-0230,SUP-02,2025-12-27,2026-01-03,2026-01-03,109,62.88,2,6853.92,1,0.01834862385321101
PO-0231,SUP-07,2025-07-27,2025-08-11,2025-08-13,74,97.32,0,7201.679999999999,0,0.0
PO-0232,SUP-14,2025-12-05,2025-12-12,2025-12-10,12,129.38,0,1552.56,1,0.0
PO-0233,SUP-01,2025-05-03,2025-05-13,2025-05-13,333,89.25,0,29720.25,1,0.0
PO-0234,SUP-08,2025-04-07,2025-04-12,2025-04-13,71,92.87,3,6593.77,0,0.04225352112676056
PO-0235,SUP-09,2025-06-01,2025-06-25,2025-06-26,120,26.97,1,3236.3999999999996,0,0.008333333333333333
PO-0236,SUP-06,2025-01-08,2025-01-30,2025-01-30,157,78.03,0,12250.710000000001,1,0.0
PO-0237,SUP-01,2025-11-01,2025-11-11,2025-11-11,148,59.33,1,8780.84,1,0.006756756756756757
PO-0238,SUP-15,2025-12-01,2025-12-19,2025-12-19,105,141.46,2,14853.300000000001,1,0.01904761904761905
PO-0239,SUP-06,2025-01-04,2025-01-26,2025-01-24,61,129.67,0,7909.869999999999,1,0.0
PO-0240,SUP-07,2025-05-04,2025-05-19,2025-05-19,335,37.64,5,12609.4,1,0.014925373134328358
PO-0241,SUP-06,2025-01-10,2025-02-01,2025-02-01,310,66.05,5,20475.5,1,0.016129032258064516
PO-0242,SUP-07,2025-12-06,2025-12-21,2025-12-21,343,17.99,3,6170.57,1,0.008746355685131196
PO-0243,SUP-13,2025-01-17,2025-02-07,2025-02-07,44,116.75,1,5137.0,1,0.022727272727272728
PO-0244,SUP-02,2025-12-27,2026-01-03,2026-01-03,315,139.84,5,44049.6,1,0.015873015873015872
PO-0245,SUP-06,2025-04-20,2025-05-12,2025-05-14,76,7.54,1,573.04,0,0.013157894736842105
